class_date,instructor,class_type,duration_min,calories
2026-01-05,Adrian Williams,30 min Full Body Bodyweight,30,174
2026-01-12,Jess Sims,20 min HIIT and Hills,20,162
2026-01-19,Tunde Oyeneyin,30 min Pop Bodyweight,30,181
2026-02-02,Adrian Williams,30 min Full Body Bodyweight,30,169
2026-02-16,Jess Sims,20 min Boot Camp Bodyweight,20,167
2026-03-03,Andy Speer,30 min Core Bodyweight,30,142
2026-03-17,Tunde Oyeneyin,20 min Power Walk,20,95
2026-04-07,Adrian Williams,30 min Full Body Bodyweight,30,178
2026-04-21,Jess Sims,20 min HIIT and Hills,20,165
2026-05-05,Andy Speer,30 min Strength for Runners,30,158
2026-05-19,Tunde Oyeneyin,30 min Pop Bodyweight,30,174
