id,name,mime_type,parent_id,size,created_time,modified_time,owner_email,starred,trashed,web_view_link
file_drv_001,file_03.pdf,application/pdf,folder_root,198556,2026-06-03T09:14:22Z,2026-06-03T09:14:22Z,andrea.kaminski@Finthesiss.ai,false,false,https://drive.google.com/file/d/file_drv_001/view
file_drv_002,doc_05.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,folder_root,37827,2026-06-08T11:42:18Z,2026-06-08T11:42:18Z,andrea.kaminski@Finthesiss.ai,false,false,https://drive.google.com/file/d/file_drv_002/view
file_drv_003,data_02.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,folder_root,6171,2026-03-22T19:14:00Z,2026-03-22T19:14:00Z,andrea.kaminski@Finthesiss.ai,false,false,https://drive.google.com/file/d/file_drv_003/view
file_drv_004,img_07.jpg,image/jpeg,folder_root,83245,2026-05-31T20:42:00Z,2026-05-31T20:42:00Z,andrea.kaminski@Finthesiss.ai,false,false,https://drive.google.com/file/d/file_drv_004/view
file_drv_005,file_12.pdf,application/pdf,folder_root,2372,2026-04-15T15:48:00Z,2026-04-15T15:48:00Z,andrea.kaminski@Finthesiss.ai,false,false,https://drive.google.com/file/d/file_drv_005/view
file_drv_010,file_01.txt,text/plain,folder_root,930,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,andrea.kaminski@Finthesiss.ai,false,false,https://drive.google.com/file/d/file_drv_010/view
file_drv_011,file_02.txt,text/plain,folder_root,992,2026-05-29T08:30:00Z,2026-05-29T08:30:00Z,andrea.kaminski@Finthesiss.ai,false,false,https://drive.google.com/file/d/file_drv_011/view
file_drv_012,file_04.pdf,application/pdf,folder_root,8400,2026-05-22T14:00:00Z,2026-05-22T14:00:00Z,andrea.kaminski@Finthesiss.ai,false,false,https://drive.google.com/file/d/file_drv_012/view
file_drv_013,file_06.pdf,application/pdf,folder_root,7200,2026-02-18T10:00:00Z,2026-02-18T10:00:00Z,andrea.kaminski@Finthesiss.ai,false,false,https://drive.google.com/file/d/file_drv_013/view
file_drv_014,file_08.txt,text/plain,folder_root,942,2026-05-15T17:00:00Z,2026-05-15T17:00:00Z,andrea.kaminski@Finthesiss.ai,false,false,https://drive.google.com/file/d/file_drv_014/view
file_drv_015,file_09.pdf,application/pdf,folder_root,9100,2026-05-31T18:00:00Z,2026-05-31T18:00:00Z,andrea.kaminski@Finthesiss.ai,false,false,https://drive.google.com/file/d/file_drv_015/view
file_drv_016,file_10.txt,text/plain,folder_root,1180,2026-06-04T20:00:00Z,2026-06-04T20:00:00Z,andrea.kaminski@Finthesiss.ai,false,false,https://drive.google.com/file/d/file_drv_016/view
file_drv_017,file_11.pdf,application/pdf,folder_root,8800,2024-09-20T11:00:00Z,2024-09-20T11:00:00Z,andrea.kaminski@Finthesiss.ai,false,false,https://drive.google.com/file/d/file_drv_017/view
file_drv_018,file_13.pdf,application/pdf,folder_root,9800,2026-05-08T18:14:00Z,2026-05-08T18:14:00Z,andrea.kaminski@Finthesiss.ai,false,false,https://drive.google.com/file/d/file_drv_018/view
file_drv_019,file_14.txt,text/plain,folder_root,807,2026-05-26T13:00:00Z,2026-05-26T13:00:00Z,andrea.kaminski@Finthesiss.ai,false,false,https://drive.google.com/file/d/file_drv_019/view
file_drv_020,file_15.pdf,application/pdf,folder_root,11200,2026-05-15T03:14:00Z,2026-05-15T03:14:00Z,andrea.kaminski@Finthesiss.ai,false,false,https://drive.google.com/file/d/file_drv_020/view
file_drv_021,file_16.pdf,application/pdf,folder_root,10400,2024-11-05T09:00:00Z,2024-11-05T09:00:00Z,andrea.kaminski@Finthesiss.ai,false,false,https://drive.google.com/file/d/file_drv_021/view
file_drv_022,file_17.pdf,application/pdf,folder_root,8200,2025-11-15T11:00:00Z,2025-11-15T11:00:00Z,andrea.kaminski@Finthesiss.ai,false,false,https://drive.google.com/file/d/file_drv_022/view
file_drv_023,file_19.pdf,application/pdf,folder_root,8800,2026-02-17T15:00:00Z,2026-02-17T15:00:00Z,andrea.kaminski@Finthesiss.ai,false,false,https://drive.google.com/file/d/file_drv_023/view
file_drv_024,file_20.pdf,application/pdf,folder_root,8400,2026-04-15T16:00:00Z,2026-04-15T16:00:00Z,andrea.kaminski@Finthesiss.ai,false,false,https://drive.google.com/file/d/file_drv_024/view
file_drv_025,doc_01.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,folder_root,8400,2025-10-22T17:00:00Z,2025-10-22T17:00:00Z,andrea.kaminski@Finthesiss.ai,false,false,https://drive.google.com/file/d/file_drv_025/view
file_drv_026,doc_04.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,folder_root,8800,2025-12-14T20:42:00Z,2025-12-14T20:42:00Z,andrea.kaminski@Finthesiss.ai,false,false,https://drive.google.com/file/d/file_drv_026/view
file_drv_027,doc_06.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,folder_root,9100,2026-05-22T22:00:00Z,2026-05-22T22:00:00Z,andrea.kaminski@Finthesiss.ai,false,false,https://drive.google.com/file/d/file_drv_027/view
file_drv_028,doc_07.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,folder_root,8200,2026-04-12T19:00:00Z,2026-04-12T19:00:00Z,andrea.kaminski@Finthesiss.ai,false,false,https://drive.google.com/file/d/file_drv_028/view
file_drv_029,doc_08.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,folder_root,9400,2024-08-05T14:00:00Z,2024-08-05T14:00:00Z,andrea.kaminski@Finthesiss.ai,false,false,https://drive.google.com/file/d/file_drv_029/view
file_drv_030,doc_10.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,folder_root,8800,2024-01-05T10:00:00Z,2024-01-05T10:00:00Z,andrea.kaminski@Finthesiss.ai,false,false,https://drive.google.com/file/d/file_drv_030/view
file_drv_031,doc_11.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,folder_root,7800,2026-04-30T11:00:00Z,2026-04-30T11:00:00Z,andrea.kaminski@Finthesiss.ai,false,false,https://drive.google.com/file/d/file_drv_031/view
