zpid,address,city,state,zipcode,latitude,longitude,bedrooms,bathrooms,living_area_sqft,lot_size_sqft,year_built,home_type,list_price,zestimate,rent_zestimate,status,days_on_zillow,listing_agent_id
20184772,372 Maplewood Drive,Worthington,OH,43085,40.0928,-83.0179,3,2.5,1540,6534,1968,SINGLE_FAMILY,315000,316800,1880,FOR_SALE,31,agent_017
20165443,418 Hartwood Drive,Worthington,OH,43085,40.0944,-83.0162,3,2.0,1410,5985,1962,SINGLE_FAMILY,298000,302400,1750,PENDING,47,agent_022
20151229,82 Cedarcroft Lane,Westerville,OH,43081,40.1267,-82.9298,3,2.5,1620,7405,1972,SINGLE_FAMILY,322500,320000,1900,SOLD,89,agent_031
20139488,915 Wickliffe Court,Westerville,OH,43081,40.124,-82.9201,3,2.0,1480,6970,1965,SINGLE_FAMILY,309900,311200,1780,OFF_MARKET,124,agent_017
20128871,207 Forest Lake Ln,Worthington,OH,43085,40.0901,-83.0244,3,2.5,1525,6612,1969,SINGLE_FAMILY,318000,319700,1855,PENDING,62,agent_019
20184780,376 Maplewood Drive,Worthington,OH,43085,40.093,-83.0177,3,2.0,1490,6360,1966,SINGLE_FAMILY,339500,341200,1990,FOR_SALE,18,agent_021
20184739,370 Maplewood Drive,Worthington,OH,43085,40.0926,-83.0181,4,2.5,1720,7102,1971,SINGLE_FAMILY,295000,296800,1810,FOR_SALE,9,agent_028
20172200,117 Greenbrier Ln,Westerville,OH,43081,40.1198,-82.9322,4,3.0,2150,9100,1985,SINGLE_FAMILY,425000,428200,2450,FOR_SALE,12,agent_016
20172237,3441 Hayden Run Rd,Hilliard,OH,43026,40.0334,-83.1567,4,2.5,2480,11340,1992,SINGLE_FAMILY,489000,491500,2780,FOR_SALE,25,agent_019
20172274,221 Park Overlook Dr,Westerville,OH,43081,40.1188,-82.9412,3,2.0,1840,8025,1978,SINGLE_FAMILY,372000,374800,2210,FOR_SALE,18,agent_022
20172311,89 Beacon Hill Ct,Westerville,OH,43082,40.1432,-82.9267,4,2.5,2240,9850,1996,SINGLE_FAMILY,459000,462100,2620,FOR_SALE,31,agent_025
20172348,1218 Loveland Dr,Worthington,OH,43085,40.0958,-83.0334,4,3.0,2380,10120,1988,SINGLE_FAMILY,478500,481200,2740,FOR_SALE,22,agent_028
20172385,641 Schreyer Pl E,Columbus,OH,43214,40.0512,-83.0095,2,1.0,980,4356,1942,SINGLE_FAMILY,235000,236800,1480,FOR_SALE,8,agent_031
20172422,5505 Olentangy River Rd,Columbus,OH,43235,40.1244,-83.0228,3,2.5,1980,8712,1981,TOWNHOUSE,348000,350100,2280,FOR_SALE,17,agent_034
20172459,418 Selby Blvd,Worthington,OH,43085,40.0911,-83.0277,4,2.5,2240,8845,1972,SINGLE_FAMILY,412000,415200,2580,FOR_SALE,34,agent_037
20172496,778 Cliffside Dr,Westerville,OH,43081,40.1078,-82.9398,3,2.0,1720,7234,1976,SINGLE_FAMILY,358500,361200,2080,FOR_SALE,14,agent_040
20172533,3902 Snouffer Rd,Columbus,OH,43235,40.1298,-83.0689,3,2.5,1850,7980,1984,SINGLE_FAMILY,379000,381500,2200,FOR_SALE,21,agent_003
20172570,142 Olde Worthington Ave,Worthington,OH,43085,40.0967,-83.0188,5,3.5,2780,11760,1925,SINGLE_FAMILY,568000,571200,3120,FOR_SALE,41,agent_006
20172607,612 Sunbury Rd,Westerville,OH,43081,40.1147,-82.9298,3,2.0,1620,7125,1969,SINGLE_FAMILY,339000,341500,2010,FOR_SALE,19,agent_009
20172644,221 Bellwood St,Columbus,OH,43214,40.0489,-83.0211,2,1.5,1180,5012,1948,SINGLE_FAMILY,269000,270400,1620,FOR_SALE,11,agent_012
20172681,8800 Squires Ln,Galena,OH,43021,40.2055,-82.9089,5,4.0,3450,21780,2004,SINGLE_FAMILY,712000,718500,3680,FOR_SALE,52,agent_015
20172718,4421 Mountview Rd,Upper Arlington,OH,43220,40.0334,-83.0795,4,3.0,2580,11340,1989,SINGLE_FAMILY,612000,615400,3010,FOR_SALE,28,agent_018
20172755,711 Northtowne Blvd,Westerville,OH,43081,40.1228,-82.9189,3,2.5,1980,8845,1991,SINGLE_FAMILY,398000,400200,2380,FOR_SALE,16,agent_021
20172792,1102 Lazelle Rd,Lewis Center,OH,43035,40.1834,-82.9712,4,3.0,2680,11340,2008,SINGLE_FAMILY,528000,531400,2890,FOR_SALE,9,agent_024
20172829,90 W Lincoln Ave,Westerville,OH,43081,40.1271,-82.9322,2,1.0,1080,4995,1938,SINGLE_FAMILY,218000,219800,1480,FOR_SALE,6,agent_027
20172866,3318 Westchester Dr,Columbus,OH,43232,39.9412,-82.8889,3,2.0,1540,7234,1974,SINGLE_FAMILY,218000,219400,1820,FOR_SALE,78,agent_030
20172903,215 Park Rd,Worthington,OH,43085,40.0918,-83.0167,3,2.5,1890,8245,1979,SINGLE_FAMILY,388500,391200,2380,FOR_SALE,23,agent_033
20172940,8044 Cornwall Dr,Dublin,OH,43017,40.0989,-83.1244,4,3.0,2840,11890,1998,SINGLE_FAMILY,615000,618400,3120,FOR_SALE,37,agent_036
20172977,572 Larrimer Ave,Worthington,OH,43085,40.0944,-83.0145,2,1.5,1240,5345,1952,SINGLE_FAMILY,248000,249500,1680,FOR_SALE,14,agent_039
